"","Lake_Name","sampling_year","Area_ha","Secchi_depth","summer_air_temp","SEAc","dY_range","dX_range","TA","CD","NND","SDNND","LaTro_CUE","div_shannon","SmBas_CUE","total_pred_CUE","log_area_ha","log_dY_range","log_dX_range","log_SEAc","log_LaTro_CUE","log_SmBas_CUE","sqrt_SmBas_CUE","log_NND","log_SDNND","log_CD","log_total_pred_CUE"
"11","Burntroot",2007,1177,3.62,17.9173913043478,0.0331235634883485,0.34652312501303,0.295393951800834,0.0427167806323281,0.132867599116807,0.0632368515572378,0.0535962061248673,0.122222222222222,1.50625381037788,0.01,0.575,7.07072410726028,-1.05980572372477,-1.21944538370234,-3.40751036200558,-2.1019143975319,-4.60517018598809,0.1,-2.76086805350264,-2.92627699466297,-2.01840214195734,-0.553385238184787
"12","Canoe",2007,367.3,4.36,17.6989130434783,0.0079017230274827,0.80493865004467,0.028809386887322,0.0105310132298556,0.234879210084676,0.0688794079729646,0.0266654295628435,0.0462962962962963,1.64485161020225,0.12037037037037,NA,5.90617895282562,-0.216989215592423,-3.54705401135748,-4.8406744385459,-3.07269331469012,-2.11718186966269,0.346944333244355,-2.67539801394947,-3.62438732544585,-1.44868389662075,NA
"13","Canoe_K",2011,291,NA,21.1086956521739,0.0209425711453116,0.70695179012296,0.153217001203493,0.0505566979490202,0.181932343321821,0.0392949790298148,0.0282946885146472,NA,NA,NA,NA,5.67332326717149,-0.346792804769885,-1.87590005391966,-3.86597129476831,NA,NA,NA,-3.23665852832454,-3.56508117694278,-1.70412040100777,NA
"14","Carling",2009,1555.61499,NA,14.4945652173913,0.0120271236648129,0.51072308537848,0.108132759482028,0.0302965279235077,0.0996237751407104,0.0411800749660262,0.0358891085824973,0.486,1.8360356314577,0.01,4.033,7.34962623838842,-0.67192774294607,-2.22439555230937,-4.42059087444054,-0.721546655081643,-4.60517018598809,0.1,-3.1898007569367,-3.3273214116207,-2.30635443664535,1.39451051589123
"15","Catchacoma",2008,708.97,NA,18.0782608695652,0.249323392464888,1.01617711644117,0.803772296142568,0.359688063038909,0.345814142551727,0.165195951148976,0.190377768823791,NA,NA,NA,NA,6.56381321251984,0.0160476611689444,-0.218439263668784,-1.38900446026382,NA,NA,NA,-1.80062292697904,-1.65874492382114,-1.06185380850179,NA
"16","Catfish",2007,528.9,3.26,17.9597826086957,0.00546952659014411,0.40726940386555,0.0309903719867023,0.00793876707080357,0.111176374236877,0.0397913453978221,0.0317070195599617,0.571926678621239,1.862864573938,0.01,0.438732815301853,6.27079937807193,-0.898280386556322,-3.4740787038114,-5.20856321288519,-0.558744480047243,-4.60517018598809,0.1,-3.22410584265396,-3.45121718538974,-2.19663738163747,-0.823864672372308
"17","Cecil",2009,1560.765503,NA,15.045652173913,0.107032107181426,0.61457485541077,0.777513394822234,0.324224971181797,0.210056322113084,0.0973481140492583,0.0842077465535637,2.506,1.71466429193078,0.01,1.257,7.35293168693753,-0.486824542243129,-0.251654407009967,-2.23462642241523,0.918687856473877,-4.60517018598809,0.1,-2.32946192024056,-2.47446836014197,-1.56037958368551,0.22872792960811
"18","Charleston",2008,2642.400879,4,19.745652173913,0.0422225780073203,1.07269487399067,0.214773111292111,0.122726684056103,0.167392112770882,0.0714908792226495,0.100751543568863,0.924,1.41019237171823,2.252,2.909,7.87944320672866,0.0701740560050653,-1.53817310438745,-3.16480017714426,-0.0790432073404529,0.811818710277444,1.50066651858433,-2.63818540073865,-2.29509775748995,-1.78741623810078,1.06780937951306
"19","Cirrus",2010,2215.814697,2.5,18.575,0.0142009394937161,0.89807701509275,0.0767844675078126,0.0391145930971515,0.152281232934115,0.0517843698721858,0.0586112403532012,0.692,1.77783090260596,0.078,1.2,7.70337542388342,-0.107499451447844,-2.56675290527501,-4.2544471550342,-0.368169323364468,-2.55104645229255,0.279284800875379,-2.96066691516854,-2.83682878589225,-1.88202625100656,0.182321556793955
"20","Cliff",2009,2236.313477,3.75,15.2173913043478,0.0519753816688205,0.86155908723498,0.424938664830807,0.169700026969193,0.159845804688338,0.0698675982236765,0.0926622892613352,0.729,1.78529266982164,0.14,3.146,7.71258401988681,-0.149011638906456,-0.855810438517731,-2.95698510194957,-0.316081546973479,-1.96611285637283,0.374165738677394,-2.6611532819381,-2.3787936932624,-1.83354564912356,1.14613180463609
"21","Confusion",2009,1462.985718,3.75,15.1891304347826,0.073268297842677,0.92272885788159,0.371338013804644,0.146526889871101,0.232769861325819,0.0695544302237614,0.0749172635250209,1.165,2.01654792096787,0.01,1.095,7.28823463883987,-0.0804198494108193,-0.990642542741617,-2.61362726237973,0.152721087017664,-4.60517018598809,0.1,-2.66564566424075,-2.59137092736668,-1.45770503316459,0.0907543632684641
"22","Conifer",2009,1137.930298,3,15.2369565217391,0.0234923335690027,0.74243326858618,0.138169631438812,0.0576530544708209,0.19973570458067,0.0545641029968518,0.027985483916289,0.863,2.26311630330501,0.282,1.458,7.03696636324981,-0.297822286302195,-1.97927313536438,-3.75108114216324,-0.147340587898709,-1.26584820804402,0.53103672189407,-2.90837906671922,-3.57606933480015,-1.6107602634516,0.377065633586466
"23","Cross",2010,108.1861496,4.5,18.1608695652174,0.00737198343830405,0.24965307323996,0.0967223620122041,0.0169337425887091,0.0716622249513395,0.0330886675640045,0.0160108257393028,1.966,1.35424311717705,0.01,0.48,4.68385335082502,-1.38768303191718,-2.33591065183851,-4.91006848574463,0.676001021724975,-4.60517018598809,0.1,-3.40856442488853,-4.1344901768324,-2.63579151886643,-0.7339691750802
"24","Crystal",2010,623.875061,7.7,18.0989130434783,0.0198843586456356,0.456131458668779,0.233166122535961,0.0461561437890028,0.125959467626849,0.0362136494636934,0.0231970896798948,1.443,1.85334293738585,0.383,0.583,6.43595012556576,-0.784974224459995,-1.45600410720307,-3.9178218540166,0.366724279791734,-0.959720289801491,0.618869937870632,-3.31831917421044,-3.76372845301085,-2.07179510928374,-0.539568092631645
"25","Deer",2018,14676.8,2.9,17.8684782608696,0.0437445235282071,0.96630883535954,0.246908489968746,0.138856100943769,0.157675569777598,0.0684504643511627,0.104456904187805,NA,NA,NA,NA,9.59402329475539,-0.034271790523343,-1.39873749695753,-3.12938885051187,NA,NA,NA,-2.68164494346992,-2.25898069275428,-1.84721571281854,NA
"26","Delaney",2009,1278.123657,5.38,15.5989130434783,0.0255128398132825,0.45826125847374,0.275509697061949,0.0692339342270989,0.115004835395429,0.0338185398952448,0.0303861112376594,0.926,1.54176411650811,0.665,1.903,7.15314838847267,-0.780315824154432,-1.2891324529616,-3.66857343145296,-0.0768810443359576,-0.407968238326283,0.815475321515005,-3.38674610926317,-3.49376964214783,-2.16278110458606,0.643431588314012
"27","Dogpaw",2010,1966.936157,3.86,18.7641304347826,0.0178944331079602,0.320941318363889,0.24877597791905,0.0452607973450267,0.0987639948343939,0.0342914345582668,0.0287701005901085,0.767,1.88099346675391,0.07,1.808,7.58423236082114,-1.13649698139893,-1.39120247455084,-4.02326561406111,-0.265268477614881,-2.65926003693278,0.264575131106459,-3.37285967732914,-3.54841860507066,-2.31502216540025,0.592221261969985
"28","Dryberry",2010,10238.58496,7.5,18.5684782608696,0.0226741932713326,0.76112219548662,0.104884002725073,0.0542536335124646,0.222329864731294,0.0422173976079566,0.0231301953444021,0.439,1.40386649342979,0.103,0.663,9.23391870154473,-0.272961361755054,-2.25490027544686,-3.78652786150436,-0.823255865906966,-2.2730262907525,0.320936130717624,-3.16492287730689,-3.76661635727501,-1.50359312276504,-0.410980288796275
"29","Eagle",2008,641.4,NA,19.1141304347826,0.133712812012185,1.44920864050965,0.2708391327228,0.293880240790918,0.390408994555828,0.099194082259031,0.13552443100127,NA,NA,NA,NA,6.46365328725905,0.371017642282707,-1.30623024054527,-2.01206097289699,NA,NA,NA,-2.31067692111758,-1.99860335232254,-0.940560385375025,NA
"30","Eagle-1",2016,27691,2.9,18.1967391304348,0.0297981199463627,0.35113304259071,0.289526109406715,0.0618737963073865,0.11185645142159,0.061269238967116,0.047853220317829,NA,NA,NA,NA,10.2288627296335,-1.04659008861333,-1.23950979810239,-3.51330997650921,NA,NA,NA,-2.79247737329257,-3.03961686307963,-2.19053891348193,NA
"31","Eva",2010,1726.177124,5,17.9304347826087,0.00944148892802543,0.4539819953497,0.123999665615679,0.0270936883396917,0.0699798074962295,0.0396288085337145,0.0512558845075549,0.509,1.98645767358245,0.261,0.754,7.45366448746741,-0.789697739547225,-2.08747641002849,-4.66264158583565,-0.675307262431614,-1.34323487165944,0.510881590977792,-3.22819893698788,-2.97092484789528,-2.6595485428862,-0.282362910974181
"32","Factor",2010,640.0227661,5.1,18.4695652173913,0.0155425306951426,0.71048926629189,0.054553523642801,0.0264139862639485,0.201064324414038,0.0410915635051403,0.019476770904001,0.444,1.81031044617373,2.015,4.711,6.4615037477523,-0.341801438818929,-2.90857297405408,-4.16417509690605,-0.811930716549912,0.700619195398646,1.41950695665784,-3.19195244606504,-3.9385327591899,-1.60413040015878,1.5499001997179
"33","Gilmour",2007,165,4.7,17.7369565217391,0.0830403863931676,0.3969628027576,0.476825053600797,0.115463702284469,0.207496107082706,0.108441538434178,0.0547402323251142,NA,NA,NA,NA,5.10594547390058,-0.92391269850936,-0.740605619307768,-2.48842820647847,NA,NA,NA,-2.22154406749013,-2.90515633122234,-1.57264270053457,NA
"34","Hogan",2007,1283.5,3.2,17.9597826086957,0.0568415550919416,1.18549614705882,0.112041655719897,0.069092350506103,0.263428108585447,0.147117236404557,0.15182308355914,1.61535583012267,1.55194371162425,0.01,0.663721712944511,7.1573460003112,0.170161376462217,-2.18888455076389,-2.86748761701522,0.479555260655247,-4.60517018598809,0.1,-1.91652548349711,-1.88503935997443,-1.33397478091913,-0.409892324366872
"35","Kaiashkons",2010,2025.220215,6.65,18.8923913043478,0.0452874846433141,0.66376846912235,0.239060986764686,0.0818403321670695,0.170851858806407,0.0499292780631267,0.0362154061122743,0.515,2.24075473491239,0.283,1.796,7.61343372177614,-0.409821881393372,-1.43103658485452,-3.09472456185426,-0.663588378318401,-1.2623083813389,0.531977443130815,-2.99714771355419,-3.31827066747326,-1.76695842072347,0.585561969880008
"36","Kakagi",2010,11061.6709,8.6,18.8097826086957,0.0966787786621053,0.506125293850119,0.522529037314096,0.148873088244739,0.219584555243018,0.076167680035958,0.0577573230948139,0.433,1.27764484453354,0.111,1.13,9.31124133961487,-0.680971024041946,-0.649074722880456,-2.33636135601414,-0.837017550979647,-2.1982250776698,0.333166624979154,-2.57481805277485,-2.85150513078294,-1.51601790313607,0.122217632724249
"37","Katimiagamak",2010,1078.848267,5.3,18.6532608695652,0.036228268701469,0.67004524739934,0.174988929412801,0.07025420974563,0.162098886976453,0.0772640464583789,0.0674169271741437,0.479,0.920453375992475,0.242,1.549,6.98364933164402,-0.400410035445554,-1.74303256755793,-3.3179155615413,-0.736054681571222,-1.41881755282545,0.491934955049954,-2.56052654855714,-2.69685914757854,-1.81954871654136,0.437609561434732
"38","Kwinkwaga",2016,811.3,3,16.4989130434783,0.0300708239333314,0.49454681197826,0.328448592636143,0.0574293508099206,0.163776725493452,0.0636660729015718,0.037052831967029,NA,NA,NA,NA,6.69863789940102,-0.704113467125305,-1.11337494451768,-3.50419988184723,NA,NA,NA,-2.75410346580043,-3.29541049380409,-1.80925120866362,NA
"39","Lake_of_Bays",2008,6763.313477,4.3,17.6,0.219332261548813,1.66841471837459,0.57012836170923,0.427667210802305,0.300484687758535,0.197711059158672,0.255098789659812,0.233,1.93212543638081,1.545,1.912,8.8192682082677,0.511873905151771,-0.561893747525245,-1.51716752289243,-1.45671682541644,0.435023910349709,1.24298028946561,-1.62094861127717,-1.36610439841712,-1.20235848218359,0.64814981462921
"40","Longlegged",2009,6760.294434,3,14.9576086956522,0.0471937916225787,0.55789085925793,0.406614477970388,0.113168182003552,0.142778683254044,0.0566467092954858,0.0500224824897056,0.481,2.07177564902017,0.01,10.306,8.81882172341395,-0.583591928459302,-0.899889771018012,-3.05349292846185,-0.731888008876376,-4.60517018598809,0.1,-2.87092138153625,-2.99528272482205,-1.94645951715203,2.33272624990603
"41","Lower_Manitou",2010,8871.666016,6.2,18.5271739130435,0.0509152949930539,0.9194125243372,0.251291915676681,0.119680741006912,0.247468420904407,0.0619670661326901,0.0379064902051841,0.675,1.72008189404618,0.66,1.498,9.09061788359664,-0.0840203734086872,-1.38114000495928,-2.97759190954137,-0.393042588109607,-0.415515443961666,0.812403840463596,-2.78115222647741,-3.27263293603523,-1.39647229741941,0.404130885095028
"42","Mameigwess-1",2016,5309.7,7.6,17.6695652173913,0.0605122893132288,0.78626921103173,0.278336086129659,0.12627165864292,0.180914770502088,0.0908277721505801,0.0689967173266257,NA,NA,NA,NA,8.57729061546482,-0.240456037521337,-1.2789259525621,-2.80490880542899,NA,NA,NA,-2.39879017945153,-2.67369635049304,-1.70972923981961,NA
"43","Mesomikenda",2010,1706.2,5.3,18.2695652173913,0.0823252677016073,0.58163258542358,0.975881654437099,0.144719857256478,0.292304343498119,0.100790374137332,0.091121161689332,NA,NA,NA,NA,7.44202395447459,-0.541916327125312,-0.0244139556208049,-2.49707719895934,NA,NA,NA,-2.2947124225741,-2.39556521091952,-1.22995974724863,NA
"44","Midlothian",2008,367.3,4.6,16.2934782608696,0.0541287931835181,0.6948311686608,0.311953936531992,0.112140175951192,0.173545203291062,0.0786729072936386,0.0589831041118365,NA,NA,NA,NA,5.90617895282562,-0.364086385718081,-1.16489974139295,-2.91638901320253,NA,NA,NA,-2.54245643576721,-2.83050424707424,-1.75131717582863,NA
"45","Muskoka",2008,8900,NA,18.5815217391304,0.0119759437847665,0.309281816094661,0.130110531195665,0.0285267789323616,0.0726542138170863,0.033246811817791,0.0466137168255191,NA,NA,NA,NA,9.09380655572023,-1.17350239153127,-2.03937094980915,-4.4248553258666,NA,NA,NA,-3.40379640165677,-3.06586042868478,-2.62204388903622,NA
"46","Panache",2006,8006.1,6.9,19.1489130434783,0.0180546733195481,0.398623341407831,0.137142731049181,0.0294027710881386,0.0996866920590704,0.0533331104601028,0.0536247710352159,NA,NA,NA,NA,8.98795903010654,-0.919738314443686,-1.98673306300905,-4.01435071804432,NA,NA,NA,-2.93119793129822,-2.92574417148264,-2.30572309077241,NA
"47","Pickerel",2010,5355.734375,3.3,18.3141304347826,0.0241668023380903,0.59025121029772,0.129871101066475,0.0485810614600073,0.147437302189703,0.0431330054454726,0.0455140787029299,0.636,2.20291602793802,0.248,2.661,8.58592311166788,-0.527207052535398,-2.04121285067574,-3.72277539181543,-0.452556715642015,-1.39432653281715,0.497995983919549,-3.14346678734018,-3.08973357884394,-1.9143522634704,0.978701991995552
"48","Pipestone",2010,3658.509,4.31,18.7554347826087,0.0116830407058049,0.33268209050195,0.0909138653385915,0.0132009663854793,0.114080419680745,0.0495646002165542,0.0199602469306095,0.171,1.6092670917238,0.371,2.911,8.20481096634566,-1.10056792817925,-2.39784275545292,-4.44961700106207,-1.76609172247948,-0.991553216374702,0.609097693313642,-3.00447840537154,-3.91401263690232,-2.17085164349451,1.06849666476349
"49","Radisson",2014,543.5,4.5,16.420652173913,0.0297525124983243,0.48449948697199,0.248098617170489,0.051447527222495,0.138456659402437,0.076344860720625,0.0461600080420498,NA,NA,NA,NA,6.29802970656126,-0.724638906533218,-1.39392896197791,-3.51484169683133,NA,NA,NA,-2.57249456169013,-3.07564148256113,-1.97719793082934,NA
"50","Raven",2009,616.7,2.9,15.9173913043478,0.0316999891276442,1.09099108887972,0.114188089101755,0.0677403759915265,0.210380498495448,0.0771221372040249,0.168538125365983,NA,NA,NA,NA,6.42438268199745,0.0870865389713073,-2.16990828578328,-3.45143894107548,NA,NA,NA,-2.56236491635604,-1.7805932914838,-1.55883749017364,NA
"51","Rib",2014,682,5.4,16.4347826086957,0.0158736337491338,0.686746060727979,0.090370079940752,0.0341637741158021,0.116168122220425,0.0720987614086253,0.0735630006745696,NA,NA,NA,NA,6.52502965784346,-0.37579069013099,-2.40384204047475,-4.14309580095371,NA,NA,NA,-2.62971841363733,-2.60961308787341,-2.15271680765363,NA
"52","Rosseau",2011,6297.369141,5.3,19.8891304347826,0.00590864117981837,0.27238904253859,0.0722609738713189,0.0144543428805493,0.0649192331623257,0.0280584463108478,0.0263434350399548,0.516,1.45931269772305,0.945,1.213,8.74788722849519,-1.30052393114511,-2.62747107603103,-5.13133939281197,-0.661648513500574,-0.0565703514883944,0.972111104761179,-3.57346557608857,-3.63653617963018,-2.73461134844609,0.193096629961913
"53","Shillington",2011,136,3.1,18.3728260869565,0.00508678578155975,0.50003813579974,0.0324447538954405,0.0120204643096183,0.117373337051945,0.0221661829970283,0.018796213610254,NA,NA,NA,NA,4.91265488573605,-0.693070911868996,-3.42821651622239,-5.28110912498559,NA,NA,NA,-3.80918743990942,-3.97409983314058,-2.14239550937563,NA
"54","Silver",2010,2577.643,5.43,18.1565217391304,0.0402895025120514,0.92710903493005,0.17706540389279,0.0483478089139744,0.200740799523825,0.146230608850826,0.18420437134467,0.162,1.62642337332025,0.01,0.492,7.85463069446854,-0.0756840990493579,-1.73123610114303,-3.21166432753316,-1.82015894374975,-4.60517018598809,0.1,-1.92257039071506,-1.69170942392965,-1.60574075772195,-0.709276562489829
"55","Stormy",2010,3432.499512,4.5,18.2684782608696,0.0167697447375963,0.76998778464994,0.196001983394381,0.0395313343481107,0.152290769090762,0.0401915826240263,0.0534735829992478,1.077,1.81278425383208,0.01,0.747,8.14104399547169,-0.261380628351231,-1.62963050044373,-4.08817892463458,0.0741793981742515,-4.60517018598809,0.1,-3.21409769274381,-2.92856752274254,-1.88196363095884,-0.29169009384932
"56","Sturgeon",2016,21412.7,4,16.8391304347826,0.0327278956556533,0.83365535823758,0.208512743090251,0.0843289640772582,0.159924424559671,0.0676072929179691,0.101085732952333,NA,NA,NA,NA,9.97173948292734,-0.181935201553657,-1.56775512167205,-3.41952748658876,NA,NA,NA,-2.6940394183503,-2.29178628109054,-1.83305392184112,NA
"57","Tadpole",2010,521.8063354,4.5,18.3010869565217,0.0107660075746298,0.43758214348045,0.083586350994068,0.0236043971000486,0.111306199389016,0.034992087499951,0.0146182536610361,1.303,1.53286021686066,0.01,0.993,6.25729651406242,-0.826490834281776,-2.48187503784196,-4.53136155527407,0.264669298142708,-4.60517018598809,0.1,-3.35263331448069,-4.2254842804246,-2.19547032244035,-0.00702461493696447
"58","Temagami",2014,20971.7,10.7,16.5271739130435,0.0368244651774779,0.84899229739057,0.272480201355079,0.121957409452652,0.155219160464536,0.0512772362271284,0.061650289709577,NA,NA,NA,NA,9.95092918880277,-0.163705165279001,-1.30018932309607,-3.30159284009321,NA,NA,NA,-2.97050836354897,-2.78627735011961,-1.86291722225177,NA
"59","Thieving Bear",2010,114.8,4.6,18.5815217391304,0.0091156456182958,0.649999999999999,0.0539906794059478,0.017546970806933,0.136559779482066,0.0461941928529938,0.0394957360765295,NA,NA,NA,NA,4.74319148388547,-0.430782916092456,-2.91894385090914,-4.69776304304765,NA,NA,NA,-3.07490118461747,-3.23156256033144,-1.99099281530345,NA
"60","Three_Mile",2007,415,3.8,17.8804347826087,0.00707490113680678,0.42106945402585,0.0964791741453776,0.0109684140041189,0.0882912737571365,0.0377132948175799,0.0461102922633927,0.0674603174603175,1.38308334673672,0.01,0.111111111111111,6.0282785202307,-0.864957484973323,-2.33842810589295,-4.95120180914668,-2.69621574345521,-4.60517018598809,0.1,-3.27774259901259,-3.07671909438863,-2.42711400120322,-2.19722457733622
"61","Upper_Manitou",2010,5310.433105,5.5,18.3782608695652,0.0346947205676751,0.68306138087088,0.332261024696981,0.0962000900085944,0.183072069676659,0.0498517759996937,0.0355290593648134,0.541,1.75343904541397,0.434,2.923,8.57742867493995,-0.381170553945884,-1.10183440000707,-3.36116774862832,-0.614336000135655,-0.834710744881732,0.658786763680024,-2.99870115633441,-3.33740434369275,-1.69787538029906,1.07261048612911
"62","Upper_Medicine_Stone",2009,1076.231812,2.35,14.8521739130435,0.0633258916325245,0.29456348710095,0.465617440080791,0.0986543752672286,0.196925387408643,0.0714625455623754,0.0689142252475371,0.431,2.02692083629313,0.01,2.99,6.98122115617986,-1.22226072322907,-0.764390926048219,-2.75946100293258,-0.841647188878389,-4.60517018598809,0.1,-2.63858180482184,-2.67489266004451,-1.62493036610438,1.0952733874026
"63","Victoria",2009,926.2330933,3.3,15.0760869565217,0.0244327088646416,0.56451778494755,0.270726534490492,0.0662973977388073,0.148279348577958,0.0385403493393414,0.0284617856923185,3.505,1.88069369635646,0.01,0.854,6.83112592359621,-0.57178339022432,-1.30664606540548,-3.71183251714804,1.25419052048655,-4.60517018598809,0.1,-3.25604955170536,-3.55919294435626,-1.9086572938981,-0.157824085193567
"64","Wapageisi",2010,1304.994019,5,18.2586956521739,0.0378938040046182,0.50711993233889,0.324996402150597,0.109474102972725,0.138309535066736,0.0635033703771591,0.0350343570225514,0.791,1.50830024518826,0.01,0.38,7.17395373660453,-0.679007750428522,-1.12394116701953,-3.27296766298627,-0.234457311214483,-4.60517018598809,0.1,-2.75666229768636,-3.35142606975986,-1.97826109788153,-0.967584026261706
"65","White_Partridge",2007,584.4,4.84,18.2663043478261,0.0157471860293369,0.392014790813151,0.165763781996278,0.024296928729617,0.081951305635497,0.0518940851795923,0.06128822527507,0.383720930232558,1.13874021671839,0.01,0.0697674418604651,6.37058567987654,-0.936455708237294,-1.79719150407406,-4.15109359447696,-0.957839734787028,-4.60517018598809,0.1,-2.95855046101601,-2.79216753809447,-2.50163004182041,-2.66258782702545
